Trait	Plantheight	Earheight	Earleafwidth	Earleaflength	Tasselmainaxislength	Tasselbranchnumber	Leafnumberaboveear	Earlength	Eardiameter	Cobdiameter	Earrownumber	Kernernumberperrow	grainweight	cobweight	kernellength	Kernelwidth	Kernelthickness	Silkingtime	Pollenshed	Headingdate	cobcolor
04K5686	152.5477081	46.99577362	6.673044166	64.44131767	30.57219814	9.47219006	4.918831006	9.999999999	3.389343946	64.44131767	9.999999999	18.92935434	19.02270684	10.68940099	6.916475202	7.728252337	4.737869174	64.2098	62.0083	58.334	0
04K5702	160.7010473	53.92579793	7.407019116	71.34515815	30.19930868	8.816218477	5.309888038	9.999999999	3.922793209	71.34515815	9.999999999	25.37579127	23.06304434	15.67566986	8.391284809	8.463828937	4.740519893	59.7128	58.3354	54.9869	0
05W002	170.996685	64.86185482	8.631562726	69.39222496	29.83995667	4.852017942	5.914049953	9.999999999	3.847777212	69.39222496	9.999999999	23.90335415	26.11910755	-999.0	9.742715403	8.08859553	4.505931221	67.2078	65.57	64.0239	1
05WN230	202.6145733	78.00080929	8.66932477	75.71266185	34.2451593	4.532880223	6.219482046	9.999999999	4.046444012	75.71266185	9.999999999	17.40639534	27.36961415	25.69585471	8.966575327	8.588906739	5.546338609	71.5977	70.8011	69.0445	0
07KS4	190.0986049	76.49761848	8.448366588	71.99345948	27.11551287	5.141438894	5.85660191	9.999999999	4.070361536	71.99345948	9.999999999	22.12788234	23.84819636	16.54601193	10.4327771	8.7735454	4.585452805	75.3452	73.5836	72.0568	1
1323	183.0386928	70.55827585	9.999999999	70.99257322	32.98852183	5.730474602	5.672768174	9.999999999	4.136537665	70.99257322	9.999999999	21.17811141	22.25630796	24.18210638	8.487405669	8.20176116	4.741845253	75.4523	73.5836	71.9452	0
1462	211.1751917	88.14599481	9.699733717	84.89124385	34.74483117	9.999999999	6.547893356	9.999999999	4.340433828	84.89124385	9.999999999	32.87164817	25.7713247	22.36770487	10.3352216	8.295569512	4.448940753	70.9553	69.0203	68.0403	0
150	199.406862	84.09240313	8.415551016	62.57602963	26.18701812	7.008392031	5.446805873	9.999999999	3.814461974	62.57602963	9.999999999	24.01368699	18.66442693	18.73223124	8.7198173	6.948005094	4.41315604	69.5634	67.3508	64.3586	1
177	167.7376926	62.32666383	8.336793644	75.8468716	26.86362604	8.25953511	5.364463679	9.999999999	3.664731428	75.8468716	9.999999999	23.22662586	22.17517342	16.69770013	8.408500486	7.95607262	4.782931405	69.1351	67.5734	66.1437	1
18-599f	184.2190934	82.45473663	8.500871502	83.35579333	27.57043801	9.999999999	5.514786057	9.999999999	4.500924546	83.35579333	9.999999999	21.19952814	24.74680625	24.63808912	8.643781396	8.907557331	4.956553529	73.6321	71.8028	68.8213	0
238	195.1777397	65.90031644	9.38907964	78.97464118	27.64054122	9.749416145	5.498509112	9.999999999	3.708501624	78.97464118	9.999999999	23.3995741	21.94336045	17.4338478	8.836023115	8.18091486	4.777629966	74.5957	71.9141	69.8254	0
268	160.7956655	52.69387703	8.844888078	70.42957469	28.36394677	6.981059882	5.635426946	9.999999999	3.66728469	70.42957469	9.999999999	19.08355482	18.86634823	14.05614498	7.96232754	7.360464037	4.21965352	71.2765	68.909	65.6974	0
303WX	126.0282494	49.56516448	7.233643513	61.16853332	29.09182699	4.334303792	4.880121967	9.837209595	3.873186986	61.16853332	9.999999999	20.31930037	19.39389834	9.057487865	8.135918943	7.351529908	4.523160898	63.8886	62.2309	59.2265	0
3411	164.5772904	61.68519937	8.995292781	77.94873276	30.77355845	7.539416646	5.399889972	9.999999999	4.064147779	77.94873276	9.999999999	21.91270538	23.37078023	16.58334709	9.259241825	7.528723462	4.751122771	74.5957	72.6932	68.0403	1
384-2	213.1582956	86.60261586	9.999999999	74.25682729	35.95485746	7.14895737	5.937986637	9.999999999	4.166264923	74.25682729	9.999999999	24.20857927	23.40744239	29.13359287	8.712644101	7.985853049	4.51255802	72.5614	71.4689	68.7097	0
3H-2	121.2660952	40.60954987	7.824614223	65.88053132	26.77245457	7.234858411	5.81812105	9.999999999	2.739241578	65.88053132	9.999999999	17.78129577	18.7657039	8.485722682	-999.0	-999.0	-999.0	73.2497	74.4278	69.0351	0
4019	185.0797421	61.47476369	8.481182159	67.34616258	30.11428989	7.781501396	5.538722741	9.999999999	4.068693861	67.34616258	9.999999999	22.98568376	21.12896487	17.22658293	9.533258007	7.341106758	4.273993268	65.9229	64.0118	60.7885	1
4F1	169.5399805	54.96792927	8.485557569	66.67056435	32.54105448	9.530758951	5.157650725	9.999999999	3.611660066	66.67056435	9.999999999	22.84850001	24.96903201	13.40862091	9.366839802	8.502543495	4.829318995	69.2422	67.6847	63.8008	1
501	170.0178356	62.25478889	8.796211646	67.83068252	26.54872089	6.338754373	5.772344781	9.999999999	4.086384316	67.83068252	9.999999999	22.25759352	25.83110804	17.26231825	8.976617805	8.435537529	4.898237701	71.2765	69.7994	66.2553	1
5213	182.3275054	50.13497482	8.33023053	69.56176081	29.95021852	3.512805366	6.558425497	9.999999999	4.019817143	69.56176081	9.999999999	21.91484706	24.73182652	17.21085938	8.847500233	7.911401976	5.073185185	67.4219	66.4604	64.9165	1
5237	136.7789351	46.88735398	8.730580503	63.01960422	26.57482315	3.914002272	5.133714041	9.999999999	4.220065789	63.01960422	9.999999999	21.88486363	19.33851466	14.94274477	9.118647135	8.316415812	4.262065031	64.7452	63.7892	61.4579	0
526018	174.651024	52.78430033	8.756832961	70.83334131	30.88169639	5.61835701	6.37842163	9.999999999	3.988083751	70.83334131	9.999999999	20.03520861	23.87716868	23.02380541	8.356853457	8.259832997	5.301147059	72.026	69.0203	66.4784	0
5311	159.2033738	67.08613788	8.296053271	79.67559094	31.24422201	9.179053535	4.917201906	9.999999999	3.976039163	79.67559094	9.999999999	19.06806678	25.48224591	19.26243502	8.908951516	9.070639761	5.227102664	73.7868	72.6206	68.7051	0
647	143.4828657	68.96951963	6.518810979	65.55214977	25.94091108	9.999999999	4.351873538	6.875042739	2.557710224	65.55214977	9.999999999	16.79624763	11.7898896	4.497660526	7.049896693	5.128420873	3.82734704	72.24015	70.9124	66.7015	0
7327	170.1279649	73.29647896	9.43502144	74.68902817	26.92906814	9.999999999	6.040435646	9.999999999	3.754642706	74.68902817	9.999999999	24.23785089	23.40988253	14.14333917	8.517533102	7.95607262	4.778955325	73.525	71.6915	69.7139	0
7381	164.4017539	67.28376849	9.180959291	70.8066043	29.43421502	9.297792375	4.899442926	9.999999999	3.898526717	70.8066043	9.999999999	20.7154717	21.44755567	12.41679275	8.778177103	8.362385408	4.74740171	68.2785	67.4621	64.1355	0
7884-4HT	138.6627675	37.25699613	7.214501097	74.30232212	37.63845336	5.834225209	5.378825689	9.999999999	3.486550256	74.30232212	9.999999999	20.39263498	21.00373975	14.91272002	9.026830195	7.96649577	5.156682848	69.7775	66.2378	63.9123	1
81162	113.6601911	37.05771156	8.448366588	57.46923494	22.53270143	3.933525235	5.472520711	9.999999999	3.432202263	57.46923494	9.999999999	18.35813285	24.07978628	15.3040225	8.182854618	8.83110223	5.43699351	70.8482	69.0203	66.7015	1
812	164.7820379	57.3004972	8.435240359	71.97071207	27.00737492	7.468018378	4.760575326	9.999999999	3.678227239	71.97071207	9.999999999	21.14170296	22.99261918	11.90201965	9.029699474	8.541258052	4.649070072	68.7068	66.4604	65.6974	0
835A	176.0687456	60.82424586	8.564314941	67.24379921	29.74438354	9.999999999	5.068606259	9.999999999	4.269307259	67.24379921	9.999999999	24.89391476	21.88845738	17.60493899	9.37688228	8.121354002	4.535089135	67.4219	65.57	63.8008	1
835B	161.3850902	67.93677289	9.135305886	64.49818621	26.72025004	6.680964038	4.731577743	9.999999999	3.86516245	64.49818621	9.999999999	24.59622215	18.79497424	18.62311939	8.498882786	7.153490055	4.46351971	68.4927	68.6864	65.6974	0
8902	148.3083927	43.69869045	8.513997731	64.70291294	26.80042128	3.818339749	5.342441929	9.999999999	3.471413063	64.70291294	9.999999999	22.06787264	26.20848885	13.62160344	8.524880006	9.2424835	4.701211596	69.2422	67.796	65.028	1
9642	161.4207433	66.9779193	9.560822237	80.05559827	31.355266	9.671324291	5.445848406	9.999999999	3.968751914	80.05559827	9.999999999	18.98932119	23.86970102	18.98476086	8.821676718	8.505521537	4.494002984	75.9876	73.361	69.4907	0
975-12	164.5625547	65.4304244	8.699952637	72.58489228	27.02974829	6.084676944	5.503296448	9.999999999	4.25246909	72.58489228	9.999999999	24.02454806	24.04589619	18.88255495	10.50737836	7.711873101	4.211701361	68.3856	66.2378	63.8008	0
9782	141.2732986	45.74287539	9.060923924	59.55062342	24.9639407	5.911201466	5.524360731	8.331892508	3.99464928	59.55062342	9.999999999	16.9440231	20.36642219	10.62269506	9.04691515	7.351529908	4.46086899	69.9916	69.1316	66.2553	0
A619	162.8986487	44.82947857	7.673189864	62.62152446	28.96131568	7.688348969	5.508220566	9.999999999	3.994831656	62.62152446	9.999999999	18.80085393	23.36779017	13.41005032	8.771464329	8.450427744	4.60930928	67.1007	65.6813	60.9	0
B11	158.4496	68.70498455	7.914224959	78.27708967	31.94443135	9.155918047	5.102117618	9.999999999	3.612754321	78.27708967	9.999999999	25.74844244	21.34552699	20.74055645	8.671749731	8.014701255	4.297252899	77.9149	77.1452	74.7344	0
B110	197.7006325	68.95616039	8.450554293	75.25316407	24.37179224	8.023586147	6.034690842	9.999999999	3.644122961	75.25316407	9.999999999	20.9982233	22.93527597	15.68043458	9.953607438	8.233030611	4.570873848	73.9533	70.24457	67.1478	1
B111	183.1955773	64.44460062	7.704546965	67.65325268	22.45514042	9.999999999	5.928822307	9.999999999	3.315116989	67.65325268	9.999999999	22.67278831	22.51550653	10.76611282	9.653563787	7.802649054	4.55874402	68.7068	67.4621	63.2429	1
B113	175.4002139	59.12784286	9.122179657	75.42831916	31.48130264	4.700777712	6.150544395	9.999999999	3.34903889	75.42831916	9.999999999	26.72882775	17.87138254	11.62566648	8.746190551	7.329772645	4.414473057	71.8119	68.7977	65.9206	1
B114	178.8692885	55.07115978	8.310541187	68.85886568	30.09415386	7.535512053	5.043712108	9.999999999	3.468677426	68.85886568	9.999999999	18.6579098	26.76161346	12.18790225	8.90488582	9.083261863	4.767027088	70.2058	65.9039	63.6892	1
B151	141.1763537	71.21287874	8.680263294	62.45091885	26.37346285	9.999999999	4.828281948	9.999999999	3.769232771	62.45091885	9.999999999	22.38601521	21.26195231	13.44578565	7.144582913	7.892044697	5.168611086	73.0967	71.6915	66.9247	0
B73	173.3193895	66.59201607	8.050204319	67.3529868	29.62136698	5.559788118	5.536807806	9.999999999	3.613691826	67.3529868	9.999999999	21.82234044	19.18005976	17.38755639	9.884729829	6.89922522	4.190155114	73.8462	69.2429	67.4825	1
B77	191.8236209	74.70455386	8.065847238	73.50339051	36.20036372	9.999999999	5.624186897	9.999999999	3.276284026	73.50339051	9.999999999	24.19311708	17.81247469	7.996482798	8.011637851	6.943756182	5.236119599	73.5199	71.3157	68.7586	0
BEM	154.4627844	54.32237975	8.157401853	66.27248458	30.12845969	9.148108861	5.090628009	9.999999999	3.755919337	66.27248458	9.999999999	17.547975	24.39449212	12.68819678	8.731447508	8.156229427	5.226121486	71.2765	69.1316	64.9165	1
BGY	142.9857325	57.14780437	6.739769161	66.96628074	27.76806942	5.395795222	4.340931054	9.999999999	3.577738164	66.96628074	9.999999999	18.41106938	21.02956046	11.13013666	7.30097662	7.244404962	4.353282157	64.3169	62.1196	59.2265	0
BS16	175.9940703	69.91990278	7.724236308	72.38016554	28.93148453	9.999999999	5.449267932	9.999999999	3.701024216	72.38016554	9.999999999	20.02589112	23.61180383	11.68760771	8.890539423	8.502543495	4.680878705	71.5977	67.796	65.4743	0
BY4839	189.8356904	73.18596159	8.492120683	67.63732949	32.60817458	9.999999999	5.439146134	9.999999999	3.691358298	67.63732949	9.999999999	21.07289807	19.33241432	11.91488437	9.461526022	7.071593874	4.332309097	68.7068	68.6864	63.0198	0
BY4944	206.5249409	79.8780589	9.157182934	74.34781695	34.56584423	7.453515605	5.251482528	9.999999999	3.979254055	74.34781695	9.999999999	23.36261828	24.59463627	22.22875	9.806469254	8.45152879	4.692194661	70.7893	68.0392	65.9765	1
BY4960	175.9904141	61.10258182	9.141869	70.78784648	34.55465755	9.999999999	5.410832456	9.999999999	3.323871028	70.78784648	9.999999999	22.17164158	18.72655928	14.41844254	8.759987211	7.573394105	4.809438599	73.0967	69.7994	66.8131	0
BY804	200.6345716	64.48291184	9.012794419	67.67145061	32.35833864	7.578462573	5.326164984	9.999999999	3.585033197	67.67145061	9.999999999	22.43741537	22.51432647	15.58990509	8.818807439	8.86586473	4.712687339	75.4217	70.0436	66.6946	0
BY807	163.4589345	64.61275043	9.999999999	62.63289817	30.00913506	9.999999999	4.838814089	9.999999999	3.620961232	62.63289817	9.999999999	20.68338485	22.13857138	12.64531439	9.432833229	8.831617237	4.682204065	73.7391	70.4672	66.59	0
BY809	167.8471476	63.47660048	9.657016327	64.55532322	29.01053503	7.669686192	5.091239909	9.999999999	3.310339739	64.55532322	9.999999999	23.99481333	20.1955477	11.11572038	8.98953141	7.758187646	4.213088368	73.1055	68.8982	66.1201	0
BY813	180.1289435	77.59105878	9.999999999	60.84518937	29.63981029	4.783531069	4.837286496	9.999999999	3.855231147	60.84518937	9.999999999	23.69074757	22.57862071	15.56939116	9.24538996	7.982797529	4.828017952	74.4886	68.909	64.5694	0
BY815	165.6394765	73.0054322	9.999999999	59.0342907	30.31712182	6.184358	4.750267495	9.999999999	3.807472941	59.0342907	9.999999999	21.3948308	20.6721623	12.1132092	8.852617923	8.107922767	4.63198494	74.3318	70.4731	67.26902	0
BY843	147.7464086	55.28102987	9.50579821	65.14423336	29.81754452	9.999999999	5.720973337	9.999999999	3.779493978	65.14423336	9.999999999	19.72026579	-999.0	16.1343353	8.959232371	7.898108557	4.551581717	75.9411	71.9048	70.1413	NA
BY855	202.6029399	84.88843734	8.872781313	63.65653185	29.68472123	7.484752347	5.479359764	9.999999999	3.600717517	63.65653185	9.999999999	25.01087522	20.99244131	19.54266599	8.913493659	7.423002938	4.244835354	72.5614	70.24457	68.0403	0
BZN	136.9363736	17.63127502	7.735904067	56.46834867	27.93586967	2.530939737	6.635022887	9.605486283	3.1166921	56.46834867	9.999999999	17.00184828	16.92277945	7.199251019	7.412860537	7.2815459	4.672926547	60.5787	60.784	57.4414	0
C8605	144.3444414	52.38407417	8.010419049	59.57903258	23.80820602	6.654942606	4.623468378	9.999999999	3.487617367	59.57903258	9.999999999	19.89653579	22.81692801	14.7787395	9.430550752	9.02852223	5.028293183	72.833	71.0458	68.1307	NA
CA47	169.8906439	58.87434847	7.627977298	67.23924973	29.18877825	8.663939359	5.519573394	9.999999999	3.704124605	67.23924973	9.999999999	20.40925066	20.77819524	10.15098878	8.556268374	6.940559986	4.476773307	73.2038	70.022	66.9247	0
CF3	187.4655826	80.24284351	9.262192763	67.87617735	23.75577885	5.864346353	6.162991471	9.999999999	4.28280307	67.87617735	9.999999999	21.7185715	24.93065829	20.9597331	9.635117426	7.835461882	4.425084278	71.1694	72.3593	67.26902	1
CHANG3	165.0896024	34.96825977	7.864249414	62.49641368	33.03326856	5.114664544	5.390999203	9.999999999	3.366729345	62.49641368	9.999999999	18.98289617	20.07055563	12.30225528	8.323856743	8.255365933	4.890285543	64.9593	61.1179	59.3381	1
CHANG7-2	128.7440348	50.7339326	8.191311277	60.33540924	22.23252542	9.999999999	4.388667641	9.414447217	3.766861886	60.33540924	9.999999999	20.71765163	19.6465819	8.878811245	8.805895681	7.959050663	4.796185002	68.0644	67.1282	65.1396	0
CHENG698	172.8190433	64.0099284	9.209687848	73.50616259	29.69217902	4.12485028	5.440377164	9.999999999	3.840724091	73.50616259	9.999999999	21.85527792	19.87563906	18.53163696	9.576297198	7.219006999	4.012897402	75.4523	70.6898	68.9329	0
CHUAN48-2	178.6544587	62.59440071	8.988729666	63.09922018	27.00737492	9.999999999	6.441888039	9.999999999	3.874463617	63.09922018	9.999999999	21.78848833	23.62400451	14.3153452	9.622205668	8.023078585	4.584127445	73.0967	71.4689	69.3792	0
CI7	193.9470019	71.08524343	7.808794892	73.16813395	35.32250209	5.79317544	5.802487055	9.999999999	3.862105207	73.16813395	9.999999999	21.3150256	20.37029338	15.97972937	9.542704441	7.397547893	4.357870109	72.6968	70.4731	67.5562	0
CIMBL1	184.7092465	64.42572103	9.179059982	68.35387307	30.19334245	9.999999999	5.376910755	9.999999999	3.641752076	68.35387307	9.999999999	22.34960676	22.72725432	13.87460954	9.485914897	7.796747324	4.544366653	68.3856	66.683	63.5776	1
CIMBL10	180.2614166	61.09010583	8.050204319	90.87381402	28.94267121	9.362861462	6.729812157	9.999999999	3.684975144	90.87381402	9.999999999	22.95141698	22.89323307	18.86897841	9.405575074	7.810148517	4.719314138	74.3816	73.1384	69.6023	1
CIMBL100	167.8426146	62.411898	9.999999999	77.12300159	31.2210258	9.999999999	5.351879822	9.999999999	3.76667951	77.12300159	9.999999999	21.02153577	25.38598646	20.1830854	8.768595049	8.633577383	4.992338242	75.2934	75.1418	73.5072	0
CIMBL101	182.9727703	81.763037	9.273131287	82.06601489	36.06038518	9.999999999	5.401804906	9.999999999	3.836711823	82.06601489	9.999999999	22.95855608	24.25111961	22.00796927	8.676778109	8.228563547	4.466170429	74.2745	73.5836	71.6105	0
CIMBL102	158.298366	60.32498557	8.938412457	72.02758061	30.66020005	9.999999999	5.750323031	9.999999999	3.719991301	72.02758061	9.999999999	21.64071286	22.90111405	13.67925643	8.823111358	7.970962834	4.626538957	71.7048	70.4672	67.4825	0
CIMBL103	110.1695116	38.31193467	8.76120837	58.72716699	24.84610763	9.999999999	5.269674408	9.999999999	4.033934504	58.72716699	9.999999999	21.07701083	22.09178343	11.51490387	8.869019828	7.6701805	4.960529608	73.0138	70.8744	68.3034	0
CIMBL105	179.4664688	72.79258158	8.892470656	77.34592626	33.03699746	9.999999999	6.278845023	9.999999999	3.845817231	77.34592626	9.999999999	22.95061679	22.42262803	24.57284143	7.999628172	8.070727272	4.834620434	75.1311	73.6949	69.8254	0
CIMBL106	208.1357766	68.89355964	8.314916597	85.28477413	33.01984454	9.999999999	6.884921872	9.999999999	3.823398389	85.28477413	9.999999999	19.87169064	22.94991679	24.9668541	8.170350296	8.26281104	4.723290217	73.3109	72.8045	70.3833	0
CIMBL107	199.0809057	63.27726779	8.107084643	91.83375494	33.8983721	9.999999999	7.053983255	9.999999999	3.844918735	91.83375494	9.999999999	18.58882827	28.3816608	31.48593013	8.305206427	9.083261863	5.167285726	76.2018	74.0288	71.8336	0
CIMBL108	184.7258874	55.06930215	8.130833476	85.54996954	33.04197975	9.999999999	7.304896755	9.999999999	3.814477077	85.54996954	9.999999999	18.24807678	22.19397337	21.96466224	8.520402382	8.288124405	4.51255802	78.7503	74.474	70.718	0
CIMBL109	189.6411106	66.49053506	7.640774762	81.044807	31.06168415	9.999999999	6.235806165	9.999999999	3.597815783	81.044807	9.999999999	16.66848284	25.47417653	19.90296295	7.754316926	8.396395218	5.81939706	74.3763	73.0271	70.3833	0
CIMBL11	191.7676075	84.32646589	9.511591107	70.45573422	23.96534273	9.999999999	6.328770108	9.999999999	3.930452993	70.45573422	9.999999999	20.95751905	22.34293281	18.44158394	8.419977603	8.332795048	4.344237334	77.2725	74.9192	72.6146	0
