No	LINES_ID	ARRAY_ID	RILS_NAME	SEED_FROM	11YN_NAME	11YN_SEED_NUMBER	11YXH_NAME	11YXH_SEED_NUMBER	12RIL_NAME	12RIL_SEED_NUMBER	NOTES	
1	B73	HZAU-11YXB2591	B73	10YXH0084	11YN1968	41	11YXH2107	0	12RIL0001	0	100/200 means more than 100/200;0 means missing;in the seeds' room (11YN;11YXH) 	
2	BY804	HZAU-11YXB2586	BY804	10YXH0092	11YN1969	0	11YXH2108	0	12RIL0002	170	100/200 means more than 100/200;0 means missing;in the seeds' room (11YN;11YXH);use the white cob (12RIL)	
3	BB001	HZAU-601-3	BY804/B73 RIL	HO002	11YN2051	81	11YXH2109	81	12RIL0003	179	100/200 means more than 100/200;0 means missing	
4	BB002	HZAU-602-1	BY804/B73 RIL	HO003	11YN2068	100	11YXH2110	100	12RIL0004	70	100/200 means more than 100/200;0 means missing	
5	BB003	HZAU-603-2,603-1	BY804/B73 RIL	HO004	11YN2044	100	11YXH2111	100	12RIL0005	160	100/200 means more than 100/200;0 means missing	
6	BB004	HZAU-604-1	BY804/B73 RIL	HO005	11YN2086	100	11YXH2112	100	12RIL0006	200	100/200 means more than 100/200;0 means missing	
7	BB005	HZAU-605-2	BY804/B73 RIL	HO007	11YN2005	100	11YXH2113	100	12RIL0007	200	100/200 means more than 100/200;0 means missing	
8	BB006	HZAU-606-1	BY804/B73 RIL	HO009	11YN2131	100	11YXH2114	0	12RIL0008	200	100/200 means more than 100/200;0 means missing	
9	BB007	HZAU-607-2	BY804/B73 RIL	HO010	11YN2121	93	11YXH2115	100	12RIL0009	200	100/200 means more than 100/200;0 means missing	
10	BB008	HZAU-608-1	BY804/B73 RIL	HO012	11YN2142	0	No_NAME	0	No_NAME	0	100/200 means more than 100/200;0 means missing	
11	BB009	HZAU-609-2	BY804/B73 RIL	HO013	11YN2077	100	11YXH2117	100	12RIL0010	200	100/200 means more than 100/200;0 means missing	
12	BB010	HZAU-610-2	BY804/B73 RIL	10YXH0750	11YN2176	100	11YXH2118	100	12RIL0011	200	100/200 means more than 100/200;0 means missing	
13	BB011	HZAU-611-2	BY804/B73 RIL	HO016	11YN2082	47	11YXH2119	100	12RIL0012	200	100/200 means more than 100/200;0 means missing	
14	BB012	HZAU-612-2	BY804/B73 RIL	HO017	11YN1992	0	11YXH2120	100	12RIL0013	200	100/200 means more than 100/200;0 means missing	
15	BB013	HZAU-613-1	BY804/B73 RIL	HO018	11YN2075	100	11YXH2121	71	12RIL0014	200	100/200 means more than 100/200;0 means missing	
16	BB014	HZAU-614-1	BY804/B73 RIL	HO019	11YN2118	100	11YXH2122	11	12RIL0015	200	100/200 means more than 100/200;0 means missing	
17	BB015	HZAU-615-2	BY804/B73 RIL	HO020	11YN1993	0	11YXH2123	100	12RIL0016	200	100/200 means more than 100/200;0 means missing;use the red cob(12RIL);in two bags(12RIL)	
18	BB016	HZAU-616-1	BY804/B73 RIL	HO021	11YN2112	100	11YXH2124	100	12RIL0017	100	100/200 means more than 100/200;0 means missing	
19	BB017	HZAU-617-2	BY804/B73 RIL	HO022	11YN2110	0	11YXH2125	0	12RIL0018	0	100/200 means more than 100/200;0 means missing	
20	BB018	HZAU-618-1	BY804/B73 RIL	HO023	11YN2101	100	11YXH2126	76	12RIL0019	200	100/200 means more than 100/200;0 means missing	
21	BB019	HZAU-619-2	BY804/B73 RIL	HO024	11YN1997	100	11YXH2127	100	12RIL0020	200	100/200 means more than 100/200;0 means missing	
22	BB020	HZAU-620-1	BY804/B73 RIL	HO025	11YN2081	0	11YXH2128	100	12RIL0021	0	100/200 means more than 100/200;0 means missing	
23	BB021	HZAU-621-2	BY804/B73 RIL	HO026	11YN2141	100	11YXH2129	100	12RIL0022	200	100/200 means more than 100/200;0 means missing	
24	BB022	HZAU-622-2	BY804/B73 RIL	10YXH0751	11YN2063	19	11YXH2130	100	12RIL0023	200	100/200 means more than 100/200;0 means missing	
25	BB023	623-1-2	BY804/B73 RIL	10YXH0752	11YN1975	0	11YXH2131	100	12RIL0024	200	100/200 means more than 100/200;0 means missing	
26	BB024	HZAU-624-2	BY804/B73 RIL	HO029	11YN2099	100	11YXH2132	0	12RIL0025	200	100/200 means more than 100/200;0 means missing	
27	BB025	HZAU-625-2	BY804/B73 RIL	HO031	11YN2028	100	11YXH2133	100	12RIL0026	200	100/200 means more than 100/200;0 means missing	
28	BB026	HZAU-626-1	BY804/B73 RIL	10YXH0753	11YN2012	0	11YXH2134	100	12RIL0027	200	100/200 means more than 100/200;0 means missing	
29	BB027	HZAU-627-2,627-1	BY804/B73 RIL	HO033	11YN2016	0	11YXH2135	100	12RIL0028	200	100/200 means more than 100/200;0 means missing	
30	BB028	HZAU-628-2	BY804/B73 RIL	10YXH0754	11YN2161	100	11YXH2136	100	12RIL0029	200	100/200 means more than 100/200;0 means missing	
31	BB029	HZAU-629-2	BY804/B73 RIL	HO036	11YN2159	0	11YXH2137	34	12RIL0030	64	100/200 means more than 100/200;0 means missing	
32	BB030	HZAU-630-1	BY804/B73 RIL	HO037	11YN2009	0	11YXH2138	100	12RIL0031	200	100/200 means more than 100/200;0 means missing	
33	BB031	HZAU-632-2,632-2	BY804/B73 RIL	HO039	11YN2060	0	11YXH2140	100	12RIL0032	200	100/200 means more than 100/200;0 means missing	
34	BB032	HZAU-633-3	BY804/B73 RIL	HO040	11YN2120	100	11YXH2141	100	12RIL0033	200	100/200 means more than 100/200;0 means missing;use the red cob(12RIL)	
35	BB033	HZAU-634-2	BY804/B73 RIL	HO042	11YN2155	100	11YXH2142	100	12RIL0034	200	100/200 means more than 100/200;0 means missing;in three bags(12RIL)	
36	BB034	HZAU-635-1,635-2	BY804/B73 RIL	HO043	11YN2151	100	11YXH2143	100	12RIL0035	200	100/200 means more than 100/200;0 means missing	
37	BB035	HZAU-636-2	BY804/B73 RIL	10YXH0756	11YN2065	100	11YXH2144	100	12RIL0036	200	100/200 means more than 100/200;0 means missing	
38	BB036	HZAU-637-1	BY804/B73 RIL	HO045	11YN2104	100	11YXH2145	100	12RIL0037	200	100/200 means more than 100/200;0 means missing	
39	BB037	HZAU-638-1	BY804/B73 RIL	HO046	11YN2076	100	11YXH2146	100	12RIL0038	200	100/200 means more than 100/200;0 means missing	
40	BB038	HZAU-639-2	BY804/B73 RIL	HO047	11YN2032	100	11YXH2147	100	12RIL0039	200	100/200 means more than 100/200;0 means missing	
41	BB039	HZAU-640-2	BY804/B73 RIL	HO048	11YN2163	100	11YXH2148	100	12RIL0040	200	100/200 means more than 100/200;0 means missing	
42	BB040	HZAU-641-1	BY804/B73 RIL	HO049	11YN2106	100	11YXH2149	0	12RIL0041	200	100/200 means more than 100/200;0 means missing	
43	BB041	HZAU-642-2	BY804/B73 RIL	HO050	11YN2129	100	11YXH2150	100	12RIL0042	100	100/200 means more than 100/200;0 means missing;use the red cob(12RIL);in two bags(12RIL)	
44	BB042	HZAU-643-1	BY804/B73 RIL	HO051	11YN2103	100	11YXH2151	99	12RIL0043	100	100/200 means more than 100/200;0 means missing;in three bags(12RIL)	
45	BB043	HZAU-644-2	BY804/B73 RIL	10YXH0757	11YN2113	100	11YXH2152	100	12RIL0044	200	100/200 means more than 100/200;0 means missing	
46	BB044	HZAU-645-2	BY804/B73 RIL	10YXH0758	11YN2125	0	11YXH2153	100	12RIL0045	200	100/200 means more than 100/200;0 means missing	
47	BB045	HZAU-646-1	BY804/B73 RIL	10YXH0759	11YN1983	0	11YXH2154	40	12RIL0046	200	100/200 means more than 100/200;0 means missing	
