ID	name	chr	pos_new	material
2	PZE-101000083	1	239225	HZAU-608-1
2	PZE-101000083	1	239225	HZAU-610-2
2	PZE-101000083	1	239225	HZAU-630-1
2	PZE-101000083	1	239225	HZAU-734-2
2	PZE-101000083	1	239225	HZAU-741-4
2	PZE-101000083	1	239225	HZAU-763-2
2	PZE-101000083	1	239225	HZAU-790-2
2	PZE-101000083	1	239225	660-2
3	PZE-101000169	1	379844	HZAU-608-1
3	PZE-101000169	1	379844	HZAU-610-2
3	PZE-101000169	1	379844	HZAU-630-1
3	PZE-101000169	1	379844	HZAU-734-2
3	PZE-101000169	1	379844	HZAU-741-4
3	PZE-101000169	1	379844	HZAU-763-2
3	PZE-101000169	1	379844	HZAU-790-2
3	PZE-101000169	1	379844	660-2
4	PZE-101000256	1	485953	HZAU-608-1
4	PZE-101000256	1	485953	HZAU-610-2
4	PZE-101000256	1	485953	HZAU-630-1
4	PZE-101000256	1	485953	HZAU-734-2
4	PZE-101000256	1	485953	HZAU-741-4
4	PZE-101000256	1	485953	HZAU-763-2
4	PZE-101000256	1	485953	HZAU-790-2
4	PZE-101000256	1	485953	660-2
5	PZE-101000301	1	613257	HZAU-608-1
5	PZE-101000301	1	613257	HZAU-610-2
5	PZE-101000301	1	613257	HZAU-630-1
5	PZE-101000301	1	613257	HZAU-734-2
5	PZE-101000301	1	613257	HZAU-741-4
5	PZE-101000301	1	613257	HZAU-763-2
5	PZE-101000301	1	613257	HZAU-790-2
5	PZE-101000301	1	613257	660-2
6	PZE-101000344	1	659354	HZAU-608-1
6	PZE-101000344	1	659354	HZAU-610-2
6	PZE-101000344	1	659354	HZAU-630-1
6	PZE-101000344	1	659354	HZAU-734-2
6	PZE-101000344	1	659354	HZAU-741-4
6	PZE-101000344	1	659354	HZAU-763-2
6	PZE-101000344	1	659354	HZAU-790-2
6	PZE-101000344	1	659354	660-2
7	PZE-101000349	1	681704	HZAU-608-1
7	PZE-101000349	1	681704	HZAU-610-2
7	PZE-101000349	1	681704	HZAU-630-1
7	PZE-101000349	1	681704	HZAU-734-2
7	PZE-101000349	1	681704	HZAU-741-4
7	PZE-101000349	1	681704	HZAU-763-2
7	PZE-101000349	1	681704	HZAU-790-2
7	PZE-101000349	1	681704	660-2
8	PZE-101000360	1	763292	HZAU-608-1
8	PZE-101000360	1	763292	HZAU-610-2
8	PZE-101000360	1	763292	HZAU-626-1
8	PZE-101000360	1	763292	HZAU-630-1
8	PZE-101000360	1	763292	HZAU-734-2
8	PZE-101000360	1	763292	HZAU-741-4
8	PZE-101000360	1	763292	HZAU-763-2
8	PZE-101000360	1	763292	HZAU-790-2
8	PZE-101000360	1	763292	660-2
2868	PZE-102000151	2	275341	HZAU-748-4
2868	PZE-102000151	2	275341	725-1-2
2869	PZE-102000197	2	402391	HZAU-748-4
2869	PZE-102000197	2	402391	725-1-2
2870	PZE-102000302	2	606401	HZAU-748-4
2870	PZE-102000302	2	606401	725-1-2
2871	PZE-102000318	2	655765	HZAU-748-4
2871	PZE-102000318	2	655765	725-1-2
2872	PZE-102000320	2	656187	HZAU-748-4
2872	PZE-102000320	2	656187	725-1-2
2873	SYN36798	2	723027	HZAU-748-4
2873	SYN36798	2	723027	725-1-2
2874	PZE-102000441	2	750594	HZAU-748-4
2874	PZE-102000441	2	750594	725-1-2
2875	SYN36800	2	755444	HZAU-748-4
2875	SYN36800	2	755444	725-1-2
9269	PZE-106000130	6	368076	HZAU-663-1
9269	PZE-106000130	6	368076	652-2
9270	PZE-106000233	6	630396	HZAU-663-1
9270	PZE-106000233	6	630396	HZAU-733-2
9270	PZE-106000233	6	630396	HZAU-734-2
9270	PZE-106000233	6	630396	HZAU-744-1
9270	PZE-106000233	6	630396	HZAU-749-1
9270	PZE-106000233	6	630396	HZAU-771-2
9270	PZE-106000233	6	630396	HZAU-786-1
9270	PZE-106000233	6	630396	652-2
9271	PZE-106000242	6	632237	HZAU-663-1
9271	PZE-106000242	6	632237	652-2
9272	PZE-106000286	6	659803	HZAU-663-1
9272	PZE-106000286	6	659803	652-2
9273	PZE-106000303	6	663079	HZAU-663-1
9273	PZE-106000303	6	663079	652-2
9274	PZE-106000325	6	702334	HZAU-663-1
9274	PZE-106000325	6	702334	652-2
9275	PZE-106000346	6	703337	HZAU-663-1
9275	PZE-106000346	6	703337	652-2
9276	PZE-106000372	6	770250	HZAU-663-1
9276	PZE-106000372	6	770250	652-2
10597	SYN23678	7	276052	HZAU-621-2
10597	SYN23678	7	276052	HZAU-724-1
10597	SYN23678	7	276052	HZAU-796-2
10598	PZA03504.1	7	377877	HZAU-621-2
10598	PZA03504.1	7	377877	HZAU-724-1
10598	PZA03504.1	7	377877	HZAU-796-2
10599	SYN23679	7	479702	HZAU-621-2
10599	SYN23679	7	479702	HZAU-724-1
10599	SYN23679	7	479702	HZAU-796-2
10599	SYN23679	7	479702	694-1-2
10600	PZE-107000362	7	581527	HZAU-621-2
10600	PZE-107000362	7	581527	HZAU-724-1
10600	PZE-107000362	7	581527	HZAU-796-2
10600	PZE-107000362	7	581527	694-1-2
10601	PZA01426.1	7	683352	HZAU-621-2
10601	PZA01426.1	7	683352	HZAU-724-1
10601	PZA01426.1	7	683352	HZAU-796-2
10601	PZA01426.1	7	683352	694-1-2
10602	PZE-107000522	7	785177	HZAU-621-2
10602	PZE-107000522	7	785177	HZAU-724-1
10602	PZE-107000522	7	785177	HZAU-796-2
10602	PZE-107000522	7	785177	694-1-2
11588	PZE-108000300	8	271898	HZAU-612-2
11588	PZE-108000300	8	271898	HZAU-788-2
11589	PZE-108000403	8	503482	HZAU-612-2
11589	PZE-108000403	8	503482	HZAU-635-1
11589	PZE-108000403	8	503482	HZAU-788-2
11590	PZE-108000664	8	774782	HZAU-612-2
11590	PZE-108000664	8	774782	HZAU-635-1
11590	PZE-108000664	8	774782	HZAU-775-2
11590	PZE-108000664	8	774782	HZAU-788-2
11591	PZE-108000683	8	775241	HZAU-612-2
11591	PZE-108000683	8	775241	HZAU-635-1
11591	PZE-108000683	8	775241	HZAU-775-2
11591	PZE-108000683	8	775241	HZAU-788-2
13212	PZE-109000243	9	405220	HZAU-624-2
13212	PZE-109000243	9	405220	HZAU-765-1
13213	PZE-109000237	9	415627	HZAU-624-2
13213	PZE-109000237	9	415627	HZAU-765-1
13214	PZE-109000187	9	479709	HZAU-624-2
13214	PZE-109000187	9	479709	HZAU-765-1
13215	PZE-109000162	9	564361	HZAU-624-2
13216	PZE-109000143	9	565565	HZAU-624-2
13217	PZE-109000128	9	567436	HZAU-624-2
13218	PZE-109000127	9	567464	HZAU-624-2
13219	PZE-109000072	9	697031	HZAU-624-2
14298	PZE-110000030	10	635478	HZAU-667-2
14298	PZE-110000030	10	635478	HZAU-695-1
